2026-04-22 18:46:02 | INFO | cla | Loaded environment variables from /home/hh89313/continous-latent-anchoring/.env
2026-04-22 18:47:17 | INFO | cla | step=1 | train/total_loss=13.2579, train/distill_loss=13.2579, train/cla_loss=3.4015, train/lr=0.0000
2026-04-22 18:47:41 | INFO | cla | step=10 | train/total_loss=9.9961, train/distill_loss=9.9961, train/cla_loss=3.3748, train/lr=0.0001
2026-04-22 18:48:08 | INFO | cla | step=20 | train/total_loss=5.9747, train/distill_loss=5.9747, train/cla_loss=3.4511, train/lr=0.0002
2026-04-22 18:48:35 | INFO | cla | step=30 | train/total_loss=5.2009, train/distill_loss=5.2009, train/cla_loss=3.3885, train/lr=0.0003
2026-04-22 18:49:02 | INFO | cla | step=40 | train/total_loss=4.8215, train/distill_loss=4.8215, train/cla_loss=3.4152, train/lr=0.0004
2026-04-22 18:49:28 | INFO | cla | step=50 | train/total_loss=4.6604, train/distill_loss=4.6604, train/cla_loss=3.4606, train/lr=0.0004
2026-04-22 18:49:55 | INFO | cla | step=60 | train/total_loss=3.9041, train/distill_loss=3.9041, train/cla_loss=3.4391, train/lr=0.0005
2026-04-22 18:50:22 | INFO | cla | step=70 | train/total_loss=3.3304, train/distill_loss=3.3304, train/cla_loss=3.4452, train/lr=0.0005
2026-04-22 18:50:49 | INFO | cla | step=80 | train/total_loss=2.4996, train/distill_loss=2.4996, train/cla_loss=3.3874, train/lr=0.0005
2026-04-22 18:51:15 | INFO | cla | step=90 | train/total_loss=3.6529, train/distill_loss=3.6529, train/cla_loss=3.3508, train/lr=0.0005
2026-04-22 18:51:42 | INFO | cla | step=100 | train/total_loss=2.2359, train/distill_loss=2.2359, train/cla_loss=3.4386, train/lr=0.0005
2026-04-22 18:52:18 | INFO | cla | step=100 | eval/total_loss=2.4910, eval/distill_loss=2.4910, eval/cla_loss=3.4206
2026-04-22 18:52:45 | INFO | cla | step=110 | train/total_loss=2.3836, train/distill_loss=2.3836, train/cla_loss=3.4260, train/lr=0.0005
2026-04-22 18:53:12 | INFO | cla | step=120 | train/total_loss=1.6662, train/distill_loss=1.6662, train/cla_loss=3.4319, train/lr=0.0005
2026-04-22 18:53:39 | INFO | cla | step=130 | train/total_loss=2.5322, train/distill_loss=2.5322, train/cla_loss=3.4234, train/lr=0.0005
2026-04-22 18:54:06 | INFO | cla | step=140 | train/total_loss=2.3007, train/distill_loss=2.3007, train/cla_loss=3.4296, train/lr=0.0005
2026-04-22 18:54:33 | INFO | cla | step=150 | train/total_loss=2.1456, train/distill_loss=2.1456, train/cla_loss=3.4113, train/lr=0.0004
2026-04-22 18:55:00 | INFO | cla | step=160 | train/total_loss=1.9967, train/distill_loss=1.9967, train/cla_loss=3.4238, train/lr=0.0004
2026-04-22 18:55:27 | INFO | cla | step=170 | train/total_loss=1.7492, train/distill_loss=1.7492, train/cla_loss=3.4108, train/lr=0.0004
2026-04-22 18:55:54 | INFO | cla | step=180 | train/total_loss=2.7847, train/distill_loss=2.7847, train/cla_loss=3.4450, train/lr=0.0004
2026-04-22 18:56:49 | INFO | cla | step=188 | eval/total_loss=1.4399, eval/distill_loss=1.4399, eval/cla_loss=3.4149
2026-04-22 18:56:55 | INFO | cla | step=190 | train/total_loss=0.8292, train/distill_loss=0.8292, train/cla_loss=3.4440, train/lr=0.0004
2026-04-22 18:57:22 | INFO | cla | step=200 | train/total_loss=1.2098, train/distill_loss=1.2098, train/cla_loss=3.3891, train/lr=0.0004
2026-04-22 18:57:57 | INFO | cla | step=200 | eval/total_loss=1.4222, eval/distill_loss=1.4222, eval/cla_loss=3.4061
2026-04-22 18:58:24 | INFO | cla | step=210 | train/total_loss=1.1791, train/distill_loss=1.1791, train/cla_loss=3.4017, train/lr=0.0004
2026-04-22 18:58:51 | INFO | cla | step=220 | train/total_loss=0.9654, train/distill_loss=0.9654, train/cla_loss=3.4160, train/lr=0.0004
2026-04-22 18:59:18 | INFO | cla | step=230 | train/total_loss=1.4199, train/distill_loss=1.4199, train/cla_loss=3.4594, train/lr=0.0004
2026-04-22 18:59:45 | INFO | cla | step=240 | train/total_loss=1.2483, train/distill_loss=1.2483, train/cla_loss=3.4065, train/lr=0.0004
2026-04-22 19:00:12 | INFO | cla | step=250 | train/total_loss=1.0412, train/distill_loss=1.0412, train/cla_loss=3.4059, train/lr=0.0004
2026-04-22 19:00:39 | INFO | cla | step=260 | train/total_loss=1.1007, train/distill_loss=1.1007, train/cla_loss=3.3514, train/lr=0.0004
2026-04-22 19:01:06 | INFO | cla | step=270 | train/total_loss=1.2656, train/distill_loss=1.2656, train/cla_loss=3.4372, train/lr=0.0004
2026-04-22 19:01:32 | INFO | cla | step=280 | train/total_loss=1.1084, train/distill_loss=1.1084, train/cla_loss=3.4068, train/lr=0.0004
2026-04-22 19:01:59 | INFO | cla | step=290 | train/total_loss=1.4615, train/distill_loss=1.4615, train/cla_loss=3.4223, train/lr=0.0004
2026-04-22 19:02:26 | INFO | cla | step=300 | train/total_loss=0.6006, train/distill_loss=0.6006, train/cla_loss=3.3533, train/lr=0.0004
