2026-04-22 18:31:14 | INFO | cla | Loaded environment variables from /home/hh89313/continous-latent-anchoring/.env
2026-04-22 18:32:12 | INFO | cla | step=1 | train/total_loss=12.4864, train/distill_loss=12.4864, train/cla_loss=3.3837, train/lr=0.0000
2026-04-22 18:32:37 | INFO | cla | step=10 | train/total_loss=11.6110, train/distill_loss=11.6110, train/cla_loss=3.4258, train/lr=0.0001
2026-04-22 18:33:05 | INFO | cla | step=20 | train/total_loss=8.2884, train/distill_loss=8.2884, train/cla_loss=3.4064, train/lr=0.0002
2026-04-22 18:33:33 | INFO | cla | step=30 | train/total_loss=5.7027, train/distill_loss=5.7027, train/cla_loss=3.4381, train/lr=0.0003
2026-04-22 18:34:01 | INFO | cla | step=40 | train/total_loss=4.9246, train/distill_loss=4.9246, train/cla_loss=3.3719, train/lr=0.0004
2026-04-22 18:34:29 | INFO | cla | step=50 | train/total_loss=4.8159, train/distill_loss=4.8159, train/cla_loss=3.3904, train/lr=0.0004
2026-04-22 18:34:57 | INFO | cla | step=60 | train/total_loss=3.6241, train/distill_loss=3.6241, train/cla_loss=3.4279, train/lr=0.0005
2026-04-22 18:35:25 | INFO | cla | step=70 | train/total_loss=3.7364, train/distill_loss=3.7364, train/cla_loss=3.3859, train/lr=0.0005
2026-04-22 18:35:53 | INFO | cla | step=80 | train/total_loss=3.1262, train/distill_loss=3.1262, train/cla_loss=3.4335, train/lr=0.0005
2026-04-22 18:36:21 | INFO | cla | step=90 | train/total_loss=2.2933, train/distill_loss=2.2933, train/cla_loss=3.4315, train/lr=0.0005
2026-04-22 18:36:49 | INFO | cla | step=100 | train/total_loss=2.8116, train/distill_loss=2.8116, train/cla_loss=3.4525, train/lr=0.0005
2026-04-22 18:37:25 | INFO | cla | step=100 | eval/total_loss=2.0516, eval/distill_loss=2.0516, eval/cla_loss=3.4298
2026-04-22 18:37:53 | INFO | cla | step=110 | train/total_loss=2.1172, train/distill_loss=2.1172, train/cla_loss=3.3947, train/lr=0.0005
2026-04-22 18:38:21 | INFO | cla | step=120 | train/total_loss=2.0834, train/distill_loss=2.0834, train/cla_loss=3.4470, train/lr=0.0005
2026-04-22 18:38:49 | INFO | cla | step=130 | train/total_loss=1.6928, train/distill_loss=1.6928, train/cla_loss=3.4399, train/lr=0.0005
2026-04-22 18:39:17 | INFO | cla | step=140 | train/total_loss=1.5931, train/distill_loss=1.5931, train/cla_loss=3.4355, train/lr=0.0005
2026-04-22 18:39:45 | INFO | cla | step=150 | train/total_loss=1.3295, train/distill_loss=1.3295, train/cla_loss=3.3706, train/lr=0.0004
