2026-04-22 18:46:02 | INFO | cla | Loaded environment variables from /home/hh89313/continous-latent-anchoring/.env
2026-04-22 18:47:17 | INFO | cla | step=1 | train/total_loss=16.6594, train/distill_loss=13.2579, train/cla_loss=3.4015, train/lr=0.0000
2026-04-22 18:47:41 | INFO | cla | step=10 | train/total_loss=12.8997, train/distill_loss=9.5247, train/cla_loss=3.3750, train/lr=0.0001
2026-04-22 18:48:09 | INFO | cla | step=20 | train/total_loss=9.3740, train/distill_loss=5.9319, train/cla_loss=3.4421, train/lr=0.0002
2026-04-22 18:48:36 | INFO | cla | step=30 | train/total_loss=8.6042, train/distill_loss=5.2384, train/cla_loss=3.3658, train/lr=0.0003
2026-04-22 18:49:04 | INFO | cla | step=40 | train/total_loss=8.0437, train/distill_loss=4.6720, train/cla_loss=3.3716, train/lr=0.0004
2026-04-22 18:49:32 | INFO | cla | step=50 | train/total_loss=8.5641, train/distill_loss=5.1340, train/cla_loss=3.4301, train/lr=0.0004
2026-04-22 18:49:59 | INFO | cla | step=60 | train/total_loss=7.3621, train/distill_loss=3.9332, train/cla_loss=3.4289, train/lr=0.0005
2026-04-22 18:50:26 | INFO | cla | step=70 | train/total_loss=6.7749, train/distill_loss=3.3780, train/cla_loss=3.3969, train/lr=0.0005
2026-04-22 18:50:54 | INFO | cla | step=80 | train/total_loss=5.4673, train/distill_loss=2.2286, train/cla_loss=3.2387, train/lr=0.0005
2026-04-22 18:51:21 | INFO | cla | step=90 | train/total_loss=6.5670, train/distill_loss=3.5477, train/cla_loss=3.0193, train/lr=0.0005
2026-04-22 18:51:49 | INFO | cla | step=100 | train/total_loss=5.4057, train/distill_loss=2.0833, train/cla_loss=3.3224, train/lr=0.0005
2026-04-22 18:52:26 | INFO | cla | step=100 | eval/total_loss=5.5926, eval/distill_loss=2.3328, eval/cla_loss=3.2598
2026-04-22 18:52:53 | INFO | cla | step=110 | train/total_loss=5.2699, train/distill_loss=1.9877, train/cla_loss=3.2822, train/lr=0.0005
2026-04-22 18:53:21 | INFO | cla | step=120 | train/total_loss=4.5189, train/distill_loss=1.3439, train/cla_loss=3.1750, train/lr=0.0005
2026-04-22 18:53:48 | INFO | cla | step=130 | train/total_loss=5.5283, train/distill_loss=2.2760, train/cla_loss=3.2522, train/lr=0.0005
2026-04-22 18:54:16 | INFO | cla | step=140 | train/total_loss=5.1552, train/distill_loss=1.9913, train/cla_loss=3.1639, train/lr=0.0005
2026-04-22 18:54:43 | INFO | cla | step=150 | train/total_loss=4.8768, train/distill_loss=1.7221, train/cla_loss=3.1547, train/lr=0.0004
2026-04-22 18:55:11 | INFO | cla | step=160 | train/total_loss=5.1575, train/distill_loss=1.8964, train/cla_loss=3.2611, train/lr=0.0004
2026-04-22 18:55:38 | INFO | cla | step=170 | train/total_loss=4.6652, train/distill_loss=1.4381, train/cla_loss=3.2271, train/lr=0.0004
2026-04-22 18:56:06 | INFO | cla | step=180 | train/total_loss=5.9266, train/distill_loss=2.5498, train/cla_loss=3.3767, train/lr=0.0004
2026-04-22 18:57:03 | INFO | cla | step=188 | eval/total_loss=4.4859, eval/distill_loss=1.3141, eval/cla_loss=3.1718
2026-04-22 18:57:08 | INFO | cla | step=190 | train/total_loss=4.0838, train/distill_loss=0.7405, train/cla_loss=3.3433, train/lr=0.0004
2026-04-22 18:57:36 | INFO | cla | step=200 | train/total_loss=4.0570, train/distill_loss=0.9663, train/cla_loss=3.0907, train/lr=0.0004
2026-04-22 18:58:13 | INFO | cla | step=200 | eval/total_loss=4.4445, eval/distill_loss=1.2869, eval/cla_loss=3.1576
2026-04-22 18:58:40 | INFO | cla | step=210 | train/total_loss=4.2570, train/distill_loss=1.1482, train/cla_loss=3.1088, train/lr=0.0004
